"Air.Pressure..Hecta.pascals." "Air.temp..deg.celcius." "Humidity...." "maximum.Wind.speed..km.h." "water.pressure..decibar." "water.temp..deg.celcius."
"76" 1014.6 25.1 75.8 48.6 5.747 27.9331
"77" 1014.3 25.9 74.7 41.4 5.578 28.0018
"78" 1010.3 27.1 82.7 42.84 6.214 28.8191
"79" 1010.4 28.6 76.3 21.96 7.248 28.6203
"80" 1006.6 27.6 81.2 9 7.619 28.618
"81" 1010.5 26 76.8 26.28 6.114 29.3428
"82" 1011 27 79.2 38.88 6.326 29.2676
"83" 1011.2 27.3 80.5 41.4 6.844 29.0341
"84" 1007.5 24.6 82.5 20.88 4.889 28.9183
"85" 1012.1 24.7 77.9 29.52 4.817 28.6183
"86" 1014 25.2 77.9 36.36 5.138 28.2469
"87" 1008.2 28.1 78.2 28.8 6.35 28.9467
"88" 1008.6 27.1 72.5 39.96 5.895 28.9719
"89" 1009.9 27.9 80.3 18 5.555 29.2317
"90" 1010.7 25.8 76.1 38.16 6.345 27.5309
"91" 1006.6 27.5 71.5 6.12 6.509 28.7719
"92" 1012.9 25.2 82.2 48.6 6.61 27.8706
"93" 1011.6 25.5 73.4 47.16 6.146 27.7153
"94" 1002.5 27.4 79.9 15.84 5.39 29.4812
"95" 1004.4 27.6 78.1 45.36 5.607 29.4599
"96" 1011.1 27.5 68.8 43.92 6.021 29.4621
"97" 1011.8 25.6 76.2 39.24 6.569 27.907
"98" 1011.7 25.1 77.1 30.6 6.957 27.7511
"99" 1010.2 26.4 85 39.6 6.874 28.7997
"100" 1009 27.2 81.4 30.96 6.276 29.1718
"101" 1005.7 29.1 70.5 8.28 6.546 28.5676
"102" 1013 25.1 73.2 33.48 7.125 27.8967
"103" 1010.5 26.1 66.8 47.52 6.264 28.1257
"104" 1013.1 24 68.8 34.2 4.691 28.511
"105" 1012.5 25.9 77.3 39.6 5.719 27.6949
"106" 1010.8 25.9 77.1 28.08 6.101 29.3347
"107" 1012.8 24.6 71.1 37.8 6.088 28.4307
"108" 1009.3 27.7 79.6 45 6.106 29.5538
"109" 1003.7 27.9 79.5 37.44 6.339 29.4375
"110" 1003.1 27.6 82.6 30.96 6.977 29.4332
"111" 1011.2 27.4 78.4 47.16 5.613 28.917
"112" 1009.2 27 84 29.88 7.164 29.6871
"113" 1013.3 25.2 80.4 52.56 6.675 27.8573
"114" 1014.1 25 64.8 38.88 5.564 28.4489
"115" 1010.9 27.2 80 36.36 5.225 29.1523
"116" 1012 25.1 76.6 33.12 5.824 28.2893
"117" 1009.5 28.7 78.3 43.2 5.79 29.4868
"118" 1005.2 28.4 77.1 30.96 6.504 29.1865
"119" 1008 27.2 77.4 25.2 5.985 29.1695
"120" 1011 25.2 82.3 39.96 5.384 27.8824
"121" 1008.4 27.4 83.8 23.04 6.357 28.8785
"122" 1013.8 25.4 72.6 38.16 5.686 27.7723
"123" 1011.5 25 76.9 29.88 6.559 28.2601
"124" 1010.8 27.8 83 23.4 7.59 28.9237
"125" 1009.5 28.9 78.9 44.28 6.516 29.3948
"126" 1013.4 27.3 72.9 33.48 5.925 29.3413
"127" 1012.2 25.4 76.5 38.16 5.855 28.399
"128" 1011.5 26.8 73 45 7.013 29.1922
"129" 1008.7 28.4 68.8 13.32 5.882 28.5817
"130" 1010.9 27.3 80.1 36 6.168 28.977
"131" 1008.3 26.4 76.4 44.64 6.487 28.5734
"132" 1009 26.6 77.6 42.84 6.739 28.7559
"133" 1011 26.8 77 40.32 5.352 29.2074
"134" 1014.3 25.4 71.6 48.24 6.298 27.2796
"135" 1010.5 26.4 84.6 41.04 6.848 28.7873
"136" 1008.3 27.6 82.7 10.08 5.593 29.6282
"137" 1008.9 27.9 74 41.4 5.383 29.141
"138" 1014 24.3 77.6 22.32 5.876 27.8959
"139" 1008.3 27.3 81.5 51.12 6.027 28.8983
"140" 1008.5 28.2 74.8 39.24 5.847 29.5096
"141" 1007.6 27 78.5 44.28 5.253 29.254
"142" 1003.5 29 77.5 49.68 6.226 29.2575
"143" 1013.8 25.2 80.1 38.52 6.421 27.234
"144" 1010.5 25.4 77.1 45 6.284 27.5009
"145" 1012.1 25.3 74.1 43.56 6.314 27.8379
"146" 1008.9 28.6 78.4 29.52 5.808 29.4707
"147" 1012.4 25.3 78.7 35.28 6.852 27.9879
"148" 1013.3 25.5 84.3 33.12 5.464 28.0189
"149" 1010.3 28.3 81.5 33.12 5.939 29.4442
"150" 1007.5 27.2 77.5 34.56 6.313 28.9666
"151" 1010 26.2 83.7 42.12 6.989 28.8151
"152" 1002.7 28.9 76.9 10.44 7.167 28.6516
"153" 1010.9 27.9 83.6 22.68 7.663 28.8785
"154" 1011.3 25.9 76.7 24.12 6.104 29.336
"155" 1009.4 27.6 75 35.28 6.128 29.3413
"156" 1004.1 28.9 78.7 53.28 6.174 29.207
"157" 1008.1 27.4 78.4 6.84 6.262 28.6399
"158" 1009.9 26.4 83.3 40.32 6.094 28.9872
"159" 1012.2 24.4 77.1 30.6 6.153 27.8231
"160" 1012.5 27.4 71.8 27.72 6.276 29.107
"161" 1012.3 27.3 76.2 42.84 5.153 29.2712
"162" 1008.3 28.1 78.4 39.96 6.11 29.5643
"163" 1009.5 27.9 76.5 37.44 6.154 29.5262
"164" 1008 28.3 72.7 36 5.618 29.3791
"165" 1009.4 27.4 72.3 33.84 6.833 29.1597
"166" 1002.3 28.2 81.5 37.44 6.743 29.4065
"167" 1012.7 25.5 73 38.52 6.931 28.0873
"168" 1007.2 28.9 76.8 33.48 5.294 29.4809
"169" 1007.6 26.9 79.8 48.6 6.622 28.6113
"170" 1010.9 25.1 72.3 33.84 6.681 27.5493
"171" 1011.1 24.5 79.5 24.84 4.626 28.6559
"172" 1009.3 26.3 78 41.76 6.372 28.3224
"173" 1011.3 27.2 72.3 46.8 5.009 29.8588
"174" 1010 26.2 85.3 40.32 6.93 28.8845
"175" 1012.4 25.9 75.2 41.04 6.272 27.9155
"176" 1011.7 25.1 80.4 34.2 6.513 28.5871
"177" 1010.8 27.3 81.2 38.52 7.357 29.1378
"178" 1013.8 24.3 83.5 42.48 6.815 27.7375
"179" 1008.7 27.4 85.2 37.08 6.024 29.514
"180" 1006.4 28.3 79.5 17.64 6.476 29.2969
"181" 1006.3 25.5 88 29.16 5.908 29.2442
"182" 1001.8 27.9 79.6 55.08 6.465 29.2499
"183" 1009.9 25.7 83.1 35.64 5.176 28.8583
"184" 1008.3 28.3 77.1 41.4 5.758 29.4981
"185" 1009 26.1 74 38.88 7.105 28.4763
"186" 1005.1 28.7 76.5 28.08 6.451 29.1666
"187" 1004.3 28.1 79.9 39.96 6.273 29.4352
"188" 1011.2 25.1 77.6 36.72 7.049 28.4907
"189" 1007.2 29.2 70.1 9.72 5.991 28.7962
"190" 1011 27 70 36.36 6.604 29.2173
"191" 1004.2 28.1 79.2 16.92 7.013 28.7505
"192" 1008.8 27.7 69 41.04 6.799 29.2453
"193" 1014.6 24.3 84.3 48.96 6.779 27.7028
"194" 1010.8 28.1 79.8 19.44 5.486 28.9319
"195" 1012.5 25.1 76 37.44 6.251 28.4458
"196" 1005.4 28.5 76.5 25.56 7.151 29.4749
"197" 1013.9 25.2 78.8 28.8 6.346 27.9595
"198" 1009.1 26.3 78.9 45 5.958 28.0178
"199" 1008.3 27.5 76.8 36 5.816 29.114
"200" 1009.7 26.2 80.2 50.4 6.97 28.5433
"201" 1007.8 28.5 80.1 29.52 6.485 29.2882
"202" 1002.1 26.9 84 56.52 5.921 29.369
"203" 1009.2 26.7 76.4 47.52 6.788 28.7562
"204" 1012.4 24.4 87.8 36 5.664 28.2018
"205" 1011.1 27.7 79.9 38.88 5.12 29.325
"206" 1005.9 28.2 78.6 14.76 6.094 29.4888
"207" 1008.1 27.3 80.9 46.44 5.923 28.8717
"208" 1012.9 26.9 75.9 41.04 5.935 29.1929
"209" 1010.2 26.5 84.2 42.84 5.36 29.1257
"210" 1003.4 27.6 78.1 28.08 6.5 29.5926
"211" 1004.5 29.2 76.3 24.12 5.512 29.0462
"212" 1013.6 25.6 69.2 42.12 5.832 28.3468
"213" 1007.5 25.2 87.1 16.92 5.355 28.744
"214" 1010.7 25.1 75.4 33.12 6.744 27.6071
"215" 1012.6 25.4 75.2 46.44 5.83 27.3487
"216" 1010.7 26.2 79.2 32.4 5.762 28.979
"217" 1007.8 28.3 77 36 7.42 29.8527
"218" 1009.7 28.4 78.9 26.64 5.538 28.9972
"219" 1010.3 27.4 74.5 43.2 7.025 29.2551
"220" 1011.5 25 82.3 54.72 6.531 28.3613
"221" 1008.9 26.4 85.8 42.48 5.368 29.0508
"222" 1002.9 28.2 75.2 36.36 5.677 29.382
"223" 1012.2 25.1 77.2 38.16 6.533 27.4579
"224" 1004.1 28.4 78.7 32.4 5.763 29.5779
"225" 1009.2 28 75.9 36 6.022 29.5242
"226" 1005.4 27.9 81 9 5.751 28.7507
"227" 1008.2 27.2 71.9 46.08 5.41 29.1363
"228" 1011 25.2 73.4 33.48 6.668 27.4762
"229" 1009.6 24.8 87.6 34.92 5.366 29.2606
"230" 1007.8 27.2 86.9 9.36 6.296 29.1618
"231" 1007.5 27.2 75.6 38.52 5.49 29.1264
"232" 1010.4 27.6 79.3 26.28 6.168 29.3359
"233" 1012.3 24.9 77.3 40.68 6.543 27.4366
"234" 1008.6 25.9 82.5 46.08 6.08 28.9796
"235" 1013.7 24.9 76.2 42.84 5.896 27.8244
"236" 1008.1 27 83.7 27.36 6.428 29.7538
"237" 1008.4 26.6 77 46.08 6.722 28.7444
"238" 1010.8 25.6 79.9 46.44 6.218 27.6011
"239" 1004.4 28.2 76.6 29.88 6.585 29.1818
"240" 1009.7 26.6 75.6 42.48 6.579 28.9473
"241" 1008.2 27.1 78.6 36.36 6.73 29.2279
"242" 1008.8 26.7 81.6 51.48 5.789 28.9925
"243" 1007.9 26.6 75.7 50.4 6.566 28.6597
"244" 1010.3 25.4 74.7 34.56 6.634 27.5372
"245" 1011.9 26.8 82.2 26.64 5.683 29.02
"246" 1005 28.6 77.1 18.36 6.515 28.8634
"247" 1010.8 26.8 84.2 44.28 6.375 28.8246
"248" 1011 25.6 79.5 45.36 6.291 27.5831
"249" 1010.7 26.5 80.4 45 5.656 29.0424
"250" 1008.6 29 78 20.52 5.743 28.8175
"251" 1014.8 25.1 75.3 38.52 6.328 27.333
"252" 1011 25.7 78 61.92 7.024 28.3465
"253" 1013.6 25.5 76.9 37.8 6.167 27.8591
"254" 1009.8 26.1 78.4 37.8 6.081 27.1842
"255" 1008.1 27.8 80.9 18 4.705 28.9814
"256" 1007.9 28.5 81.5 29.52 6.666 29.2899
"257" 1011.8 26.9 81 33.12 6.375 28.9003
"258" 1006.4 28.2 78.9 16.92 5.975 29.5899
"259" 1008.7 27.7 81 28.44 7.422 29.8159
"260" 1006.6 28.4 68 37.8 6.377 29.0769
"261" 1013.7 25.1 63.6 39.6 5.644 28.4366
"262" 1014.3 24.7 79.8 28.8 7.165 28.0595
"263" 1006 28.6 77.7 33.84 6.593 28.8892
"264" 1008.8 27.6 78.2 24.12 4.587 28.7104
"265" 1009.7 27.9 71.9 43.92 6.249 28.9384
"266" 1012.9 25.2 79 37.08 5.623 28.1518
"267" 1009 27.1 77.4 38.16 7.251 28.7881
"268" 1007.3 27.6 72.1 36.36 5.888 28.9888
"269" 1014.4 26.3 82.1 38.16 6.831 29.0607
"270" 1014.4 25 75 45.36 5.754 28.0178
"271" 1012.2 25.3 77.4 34.2 5.899 28.394
"272" 1012 24.9 81.1 38.16 5.149 28.1631
"273" 1012.6 26.7 80.7 40.68 7.196 29.0257
"274" 1012 26.3 84 33.12 5.761 28.9757
"275" 1012.7 25.1 77 46.08 6.591 27.7235
"276" 1007.9 28 73.4 33.84 5.644 29.3793
"277" 1011.1 26.6 81.4 36.36 6.145 28.7979
"278" 1012.9 25.2 80 49.32 5.378 27.9423
"279" 1003.4 24.9 87 16.56 5.993 29.1998
"280" 1010.6 27.1 78.9 26.64 5.354 29.1644
"281" 1012.3 27.2 77.7 40.68 7.185 29.112
"282" 1014.3 25.6 79.7 37.08 4.897 28.1872
"283" 1014.2 27.3 72.3 38.52 5.049 29.0225
"284" 1001.2 29 75.5 25.92 5.499 29.4812
"285" 1013.7 24.6 81 25.2 7.021 28.0309
"286" 1009.7 26.8 81.7 37.8 6.096 29.0473
"287" 1007.6 27.9 77.4 6.12 5.09 28.7666
"288" 1010.4 25.4 73.4 36.72 6.032 27.9684
"289" 1008.5 28 77.7 38.52 5.951 28.9357
"290" 1009.4 26.7 80.3 34.56 6.109 29.0827
"291" 1009 27.4 83.8 33.12 7.365 29.7734
"292" 1010.4 27.6 79.1 28.8 6.19 29.3298
"293" 1010.8 26.2 68.2 47.16 6.202 28.0415
"294" 1006.6 29 76 20.88 4.747 29.0827
"295" 1011.4 26.4 77.1 39.6 7.057 29.0874
"296" 1013 24.4 80.8 30.24 5.865 28.1087
"297" 1009.5 25.6 73.1 40.68 6.263 28.1626
"298" 1008.5 26.2 78 49.68 6.473 28.7764
"299" 1012.2 25.1 73.9 37.08 5.51 28.2513
"300" 1012.9 25.1 71.1 39.6 6.492 27.442
"301" 1007.5 28.4 83.2 8.28 6.335 29.0332
"302" 1007 27.9 75.3 38.88 5.924 28.9983
"303" 1012.1 27.3 75.3 43.2 6.618 28.9512
"304" 1009.9 26 84.4 42.12 6.936 28.8227
"305" 1009.8 28.8 74.7 23.4 6.463 28.8377
"306" 1011.2 26.2 68.1 46.08 6.112 28.1686
"307" 1012.2 26.9 76.7 37.8 6.132 29.1727
"308" 1011.3 26.9 78.7 34.2 5.698 29.1873
"309" 1008.5 25.5 80.6 43.56 5.507 29.3095
"310" 1013.4 25.3 76.5 42.12 6.175 27.6771
"311" 1013.5 24.2 84.9 29.88 6.681 27.5258
"312" 1014.8 25.1 79.7 40.68 7.001 27.7823
"313" 1005.9 28.4 77.1 14.76 6.32 29.4578
"314" 1008.6 25.9 86.7 44.28 5.518 28.9951
"315" 1003.4 28.4 82.3 39.24 6.138 29.3972
"316" 1012.6 24.2 88.8 28.44 5.424 28.2079
"317" 1009.3 25.8 76.5 36 5.895 28.7224
"318" 1009.7 25.7 71.9 39.6 7.472 28.2833
"319" 1008.4 26.6 73.3 45 6.188 28.3286
"320" 1006.3 28.7 70.4 34.56 5.279 29.1656
"321" 1006.3 27.5 80.5 3.96 5.338 29.0209
"322" 1009.8 27.3 78.4 36.72 7.139 28.8849
"323" 1010.6 27.5 69.2 39.6 6.441 29.1342
"324" 1014.2 24.8 74.5 37.8 6.376 27.3949
"325" 1008.2 27 71.5 59.76 5.859 28.5046
"326" 1014.7 25.7 78.1 33.84 5.281 28.0998
"327" 1011.7 26.6 83.4 43.92 6.62 28.6676
"328" 1011.8 27.2 80.8 34.2 6.803 28.9532
"329" 1005.8 28.3 73.6 24.48 7.026 29.4511
"330" 1012.5 25.8 82.9 44.28 6.088 27.6989
"331" 1004 28.7 75.8 26.64 6.498 28.8434
"332" 1011.8 27 70.3 37.44 5.927 29.3656
"333" 1003.9 26.6 87.2 38.88 6.083 29.2486
"334" 1009.3 28.3 79.7 8.28 6.649 29.1241
"335" 1010.6 26 84.9 44.64 6.375 28.5723
"336" 1009.3 28.5 79.1 29.52 5.982 29.456
"337" 1007.2 27.8 84.7 4.32 6.139 29.1172
"338" 1011 24.7 85.2 40.68 5.469 27.8609
"339" 1011.3 27.4 75.1 37.08 6.277 28.7705
"340" 1007 28.6 74.6 41.76 5.552 29.4879
"341" 1007.6 27.4 75.3 38.16 5.498 29.1205
"342" 1007.3 26.7 81.8 41.04 5.934 28.9687
"343" 1007 27.4 84.3 6.48 5.709 29.4298
"344" 1012.6 25.8 72.2 48.96 7.059 28.475
"345" 1008.8 27.7 78.3 25.2 4.576 28.6919
"346" 1008.8 26.7 77 47.16 6.873 28.6252
"347" 1004 28.2 82.1 38.88 6.527 29.2756
"348" 1013.3 24.3 76.4 39.24 6.634 27.5693
"349" 1010.3 26.1 76.1 21.6 6.308 29.4176
"350" 1005.6 28.4 69.3 10.44 5.938 28.6547
"351" 1012 24.4 81.4 26.28 6.001 27.8073
"352" 1011.7 26.5 77.8 38.52 6.734 28.822
"353" 1012.9 25.6 76.1 38.16 5.831 27.7721
"354" 1011.2 27.3 70.6 37.08 5.438 29.6921
"355" 1011 26.4 79.5 48.24 6.304 28.758
"356" 1013.2 24.8 81.5 36.72 6.302 27.5924
"357" 1009.1 28.5 72.4 38.52 5.634 29.0257
"358" 1013.9 25.1 79.8 39.6 5.427 27.8824
"359" 1010.8 26.5 77.9 45.72 6.295 28.8345
"360" 1013.2 24.9 73.6 50.4 5.61 28.1183
"361" 1006.4 27.3 83.9 7.2 5.684 29.333
"362" 1010.7 27.6 78.5 41.76 5.18 29.052
"363" 1003.9 28.3 74.3 30.24 6.729 29.2279
"364" 1009.4 26 78.4 45.36 6.225 27.2464
"365" 1011.2 26.7 82.4 46.8 6.426 28.8785
"366" 1010.2 26.3 83 45.36 6.292 28.9913
"367" 1012.8 25.5 72 42.84 5.613 27.7872
"368" 1004.8 28.4 75.8 18.36 6.508 28.8411
"369" 1009.7 26.6 75.7 51.48 6.313 28.8372
"370" 1014.7 25 80.7 39.6 6.975 27.7842
"371" 1009.6 28.6 72.4 24.48 7.69 28.492
"372" 1009.8 26 67.3 45.72 6.544 28.0639
"373" 1004.9 25.7 84.3 40.32 6.024 29.1644
"374" 1008 27.5 71.5 38.16 6.273 28.9792
"375" 1004.6 29 74.1 24.48 6.717 28.9765
"376" 1009.4 26.3 80.6 42.84 6.263 28.8172
"377" 1012.2 25 77.4 29.16 5.02 28.6246
"378" 1010.8 26.6 77.6 52.92 6.236 28.8276
"379" 1008.1 28.8 78.6 33.12 5.534 29.3236
"380" 1000.6 28 81.6 51.48 5.954 29.2605
"381" 1008.4 27.4 82.1 46.08 5.814 28.8694
"382" 1006.7 27.9 70.6 39.6 6.244 29.0305
"383" 1010.5 27.1 73.4 39.24 5.239 29.2421
"384" 1009.5 25.4 77.8 44.64 6.723 27.4117
"385" 1007.7 28.7 70.8 17.64 7.408 28.4909
"386" 1007.5 27.7 82.2 10.8 7.458 28.6585
"387" 1008.8 25.2 82.6 39.24 6.036 27.3747
"388" 1015.1 25.4 69.4 46.8 4.725 28.3961
"389" 1006.7 27.4 73.6 9.36 6.533 28.7709
"390" 1010.2 28 75.4 11.88 5.137 28.5872
"391" 1007.9 26.7 83.2 28.44 5.683 29.0456
"392" 1012.1 26.9 76.7 36.72 6.994 28.9444
"393" 1012.7 25.8 77.2 40.68 5.687 28.2357
"394" 1011.4 24.9 80.9 37.8 6.49 27.509
"395" 1008.3 29 73.2 23.04 5.879 28.84
"396" 1009.7 27.3 80.7 33.84 6.583 29.1485
"397" 1010.2 26.5 71.1 39.96 6.863 28.3062
"398" 1012.6 24.4 88.6 46.44 6.448 28.5444
"399" 1010.5 26 81.3 48.96 5.88 27.7952
"400" 1009.3 27.2 85.3 22.32 5.891 28.9878
"401" 1007.7 28.8 76.2 34.2 5.138 29.0798
"402" 1007.6 27.4 80.7 43.2 5.747 29.3999
"403" 1008.3 28.3 76.5 33.84 6.188 28.8257
"404" 1012.7 27.5 74.8 40.32 5.282 29.4139
"405" 1010 27 81.4 48.96 5.478 29.0539
"406" 1005.9 28.7 79 18.36 4.815 29.0962
"407" 1013.7 25.6 73.3 37.8 7.07 28.2222
"408" 1012.5 25.4 85.7 36.72 6.881 27.7383
"409" 1013.6 25.2 85.2 37.08 5.408 28.0961
"410" 1007.1 28.4 79.1 30.6 5.85 29.3398
"411" 1010.5 28.4 73.7 41.04 6.113 29.3502
"412" 1011.7 25.2 72.5 30.24 6.432 27.513
"413" 1009.8 26.3 84.8 28.08 6.903 29.8591
"414" 1009.7 27.7 78.3 37.08 6.524 29.4756
"415" 1011.7 24.7 79 47.52 5.574 28.5233
"416" 1012.4 25.1 76.1 33.48 6.665 28.3516
"417" 1002 27.9 75.1 16.2 5.565 29.3295
"418" 1007.4 28.6 73.8 43.92 5.583 29.4746
"419" 1012.9 26.7 73 39.96 5.556 29.233
"420" 1009.2 27.3 83.3 30.24 7.343 29.7389
"421" 1012.4 22.8 85.6 51.12 5.477 28.2556
"422" 1012.9 25.4 73.4 45 5.682 27.094
"423" 1013 24.5 78.9 30.96 6.038 28.0702
"424" 1009 26.1 87 43.56 5.395 29.0641
"425" 1011 25.5 76.3 41.4 6.754 27.3525
"426" 1010 25.2 70.1 35.28 7.502 28.3149
"427" 1009.9 24.5 84.5 25.2 5.389 28.8375
"428" 1007.6 27.6 82.9 7.2 7.504 28.6336
"429" 1008 26.1 84.8 36.36 6.772 29.1104
"430" 1014.2 25.5 77.2 37.08 5.493 28.0464
"431" 1013.2 24.3 81 21.96 5.842 28.3767
"432" 1012.6 26.3 84.6 29.88 6.642 28.9521
"433" 1004.6 29.7 74 16.92 6.673 28.6802
"434" 1012.8 24 85.6 23.04 5.477 28.3691
"435" 1008 27.4 83.2 18.36 6.114 29.1343
"436" 1008.4 27.6 64.2 38.52 5.853 29.5155
"437" 1007.8 28 73.9 41.04 5.808 28.9952
"438" 1013.1 25.2 79.5 47.16 5.872 27.6682
"439" 1012.2 26.7 74.9 33.12 6.026 29.2042
"440" 1011.9 26.6 75.6 39.24 5.6 28.9683
"441" 1008.2 28.3 76 42.12 5.709 29.491
"442" 1008 27.8 70.8 37.8 6.288 29.2945
"443" 1009 28.6 77.5 42.12 5.98 29.4567
"444" 1001.8 28.4 79.3 46.44 5.969 29.214
"445" 1007.6 28.1 84.6 3.96 6.33 29.0489
"446" 1012.5 24.7 85.2 47.16 6.477 28.5428
"447" 1010.3 26.1 75.4 23.04 6.184 29.3826
"448" 1012 27.2 76.3 34.92 7.027 28.9738
"449" 1012.7 25 78.7 42.48 5.768 28.198
"450" 1015.4 24.6 80.2 23.76 5.445 28.0422
"451" 1011.3 25.7 81.7 42.84 5.897 27.7284
"452" 1011.2 24.5 81.7 32.4 6.292 27.2953
"453" 1006.7 27.8 82 11.16 6.269 28.8897
"454" 1011.6 26.8 80.9 38.52 7.133 29.1781
"455" 1002.9 26.4 80.6 32.76 5.577 29.4685
"456" 1002.2 28.6 76.6 29.88 5.6 29.4962
"457" 1010.3 28.4 78.2 33.84 5.922 29.4426
"458" 1011.6 25.5 80.5 42.84 5.668 27.9401
"459" 1012.8 25 78.3 41.04 5.94 28.1837
"460" 1005.6 28.7 73.7 23.76 5.689 28.9422
"461" 1013.7 24.3 72.9 29.16 5.323 28.1779
"462" 1010.2 26.1 82 43.2 5.759 29.139
"463" 1008.4 26.5 71.9 38.88 7.168 28.4169
"464" 1008.3 28.6 78.1 32.76 5.644 29.4958
"465" 1012.2 27 79.3 44.28 5.412 29.2245
"466" 1009.7 27 81.5 45.72 5.503 29.0905
"467" 1009.5 27.6 78.6 6.84 5.219 28.6095
"468" 1012 25.8 75.3 37.44 6.208 27.5898
"469" 1005.4 28.7 79 18 6.495 28.8488
"470" 1008 28.4 75.8 12.96 6.633 29.0507
"471" 1014.2 25.2 81.3 35.28 6.82 27.713
"472" 1002.1 28.1 81.7 43.2 6.516 29.1523
"473" 1010.2 25.3 73.7 33.84 7.046 27.9668
"474" 1005.8 28.7 79.6 35.64 6.279 29.1958
"475" 1012.9 27.3 71.2 39.24 6.075 29.5042
